scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
10,demo_wcomp_010,btm_p_c,72.0,W_new,4371.24,3500.7687241477433,12418.615967660648,1113.1368620403268,257.73947893325436,1370.8763409735816,0.0,0.0,0.0,0.0,21.54385556443897,14662.993376801262,5290.564934982003,19953.558311783265,0.0,0.0,0.0,-1377195.1444441092,0.0,0.0,0.0,7090.0946139624175,313400.67536580365,25.06931351221689,35632.69803195092,94808.84744370474,93.0815739713417,93.08157397134183,23.334911600981723,23.33491160098184,3557.18272636794,118656.65486188106,0.0,408791.90503850946
11,demo_wcomp_011,en,72.0,W_new,18000.0,4195.4202784481795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,82450.80739079864,-1214582.3325142309,0.0,104646.22766924681,-104646.22766924681,0.0,408791.905038509,0.0,38480.53282807798,82450.80739079864,100.0,100.0,0.0,0.0,0.0,104646.22766924681,0.0,408791.90503850946
12,demo_wcomp_012,en_pv,72.0,W_new,18000.0,4195.4202784481795,8279.077311773766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1152183.865902845,0.0,99270.08809564535,-99270.08809564535,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,99270.08809564535,0.0,408791.90503850946
13,demo_wcomp_013,en_pv,72.0,W_new,18000.0,4195.4202784481795,10348.846639717207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1176206.7601255171,0.0,101339.85742358878,-101339.85742358878,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,101339.85742358878,0.0,408791.90503850946
14,demo_wcomp_014,en_pv,72.0,W_new,18000.0,4195.4202784481795,12418.615967660648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,68795.5905054234,-1200229.6543481892,0.0,103409.62675153223,-103409.62675153223,7088.569047354,313399.14979919523,25.06931351221684,35632.69803195092,68795.5905054234,93.08306260023991,93.08306260023986,23.335284790027206,23.335284790027316,0.0,103409.62675153223,0.0,408791.90503850946
15,demo_wcomp_015,en_pv,72.0,W_new,18000.0,4195.4202784481795,13463.172450921824,0.0,0.0,0.0,0.0,0.0,0.0,-1.862645149230957e-11,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1147838.2635378398,0.0,98895.67881743111,-98895.67881743111,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,98895.67881743111,0.0,408791.90503850946
16,demo_wcomp_016,en_pv,72.0,W_new,18000.0,4195.4202784481795,16828.96556365228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1186903.5307784462,0.0,102261.47193016154,-102261.47193016154,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,102261.47193016154,0.0,408791.90503850946
17,demo_wcomp_017,en_pv,72.0,W_new,18000.0,4195.4202784481795,20194.758676382735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1225968.798019053,0.0,105627.265042892,-105627.265042892,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,105627.265042892,0.0,408791.90503850946
18,demo_wcomp_018,en_pv,72.0,W_new,18000.0,4195.4202784481795,16006.216136095944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1177354.243230742,0.0,101438.7225026052,-101438.7225026052,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,101438.7225026052,0.0,408791.90503850946
19,demo_wcomp_019,en_pv,72.0,W_new,18000.0,4195.4202784481795,20007.770170119933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.54385556443897,0.0,0.0,0.0,0.0,19821.479546847902,63237.08608806109,-1223798.5053945752,0.0,105440.2765366292,-105440.2765366292,63855.067424183,274516.41217513435,48.46733945695244,34476.91184916157,63237.08608806109,67.77121745807095,67.77121745807065,32.84690601951266,32.84690601951277,0.0,105440.2765366292,0.0,408791.90503850946
