,customer,variable,$ Savings,Tariff type,Tariff Rate
115,W04,EN_PTBP_N,-136.47193164111945,"Pass-through, demand at building peak",Neutral average bill impact
116,W05,EN_PTBP_N,-196.17303564446502,"Pass-through, demand at building peak",Neutral average bill impact
117,W06,EN_PTBP_N,98.87569424704225,"Pass-through, demand at building peak",Neutral average bill impact
118,W07,EN_PTBP_N,264.82561533196804,"Pass-through, demand at building peak",Neutral average bill impact
119,W08,EN_PTBP_N,-920.484464645165,"Pass-through, demand at building peak",Neutral average bill impact
120,W09,EN_PTBP_N,398.9039260913787,"Pass-through, demand at building peak",Neutral average bill impact
121,W10,EN_PTBP_N,140.6346501350414,"Pass-through, demand at building peak",Neutral average bill impact
122,W11,EN_PTBP_N,-992.5871263909908,"Pass-through, demand at building peak",Neutral average bill impact
123,W12,EN_PTBP_N,584.121652093088,"Pass-through, demand at building peak",Neutral average bill impact
124,W13,EN_PTBP_N,-207.49010618987404,"Pass-through, demand at building peak",Neutral average bill impact
125,W14,EN_PTBP_N,287.85637379011723,"Pass-through, demand at building peak",Neutral average bill impact
126,W15,EN_PTBP_N,-1691.677979784457,"Pass-through, demand at building peak",Neutral average bill impact
127,W16,EN_PTBP_N,-116.00310333364723,"Pass-through, demand at building peak",Neutral average bill impact
128,W17,EN_PTBP_N,321.49744578722436,"Pass-through, demand at building peak",Neutral average bill impact
129,W18,EN_PTBP_N,281.36538337167127,"Pass-through, demand at building peak",Neutral average bill impact
130,W19,EN_PTBP_N,279.8237020138382,"Pass-through, demand at building peak",Neutral average bill impact
131,W20,EN_PTBP_N,62.0012344334134,"Pass-through, demand at building peak",Neutral average bill impact
132,W21,EN_PTBP_N,-2412.9712693949377,"Pass-through, demand at building peak",Neutral average bill impact
133,W22,EN_PTBP_N,207.36188551311693,"Pass-through, demand at building peak",Neutral average bill impact
134,W23,EN_PTBP_N,417.67406308207615,"Pass-through, demand at building peak",Neutral average bill impact
135,W24,EN_PTBP_N,341.82702244237805,"Pass-through, demand at building peak",Neutral average bill impact
136,W25,EN_PTBP_N,-28.22928103509821,"Pass-through, demand at building peak",Neutral average bill impact
137,W27,EN_PTBP_N,-1011.2036335900482,"Pass-through, demand at building peak",Neutral average bill impact
138,W28,EN_PTBP_N,-992.6967787438334,"Pass-through, demand at building peak",Neutral average bill impact
139,W29,EN_PTBP_N,-489.60642549695285,"Pass-through, demand at building peak",Neutral average bill impact
140,W01,EN_PTBP_Z,398.4679720351021,"Pass-through, demand at building peak",Zero EN profit distribution
141,W02,EN_PTBP_Z,279.10284142006276,"Pass-through, demand at building peak",Zero EN profit distribution
142,W03,EN_PTBP_Z,-54.718641267741305,"Pass-through, demand at building peak",Zero EN profit distribution
143,W04,EN_PTBP_Z,89.64857468755008,"Pass-through, demand at building peak",Zero EN profit distribution
144,W05,EN_PTBP_Z,125.33695108286406,"Pass-through, demand at building peak",Zero EN profit distribution
145,W06,EN_PTBP_Z,393.70840884074414,"Pass-through, demand at building peak",Zero EN profit distribution
146,W07,EN_PTBP_Z,379.94453577744537,"Pass-through, demand at building peak",Zero EN profit distribution
147,W08,EN_PTBP_Z,-430.4037006276544,"Pass-through, demand at building peak",Zero EN profit distribution
148,W09,EN_PTBP_Z,495.9672478404965,"Pass-through, demand at building peak",Zero EN profit distribution
149,W10,EN_PTBP_Z,254.85462199633366,"Pass-through, demand at building peak",Zero EN profit distribution
150,W11,EN_PTBP_Z,-496.9023937986153,"Pass-through, demand at building peak",Zero EN profit distribution
151,W12,EN_PTBP_Z,594.6205018890391,"Pass-through, demand at building peak",Zero EN profit distribution
152,W13,EN_PTBP_Z,122.92294326209867,"Pass-through, demand at building peak",Zero EN profit distribution
153,W14,EN_PTBP_Z,438.90833540400786,"Pass-through, demand at building peak",Zero EN profit distribution
154,W15,EN_PTBP_Z,-768.9008856408759,"Pass-through, demand at building peak",Zero EN profit distribution
155,W16,EN_PTBP_Z,139.42142901458237,"Pass-through, demand at building peak",Zero EN profit distribution
156,W17,EN_PTBP_Z,372.72527209867735,"Pass-through, demand at building peak",Zero EN profit distribution
157,W18,EN_PTBP_Z,281.41798644665846,"Pass-through, demand at building peak",Zero EN profit distribution
158,W19,EN_PTBP_Z,349.0826290433547,"Pass-through, demand at building peak",Zero EN profit distribution
159,W20,EN_PTBP_Z,261.39567625210066,"Pass-through, demand at building peak",Zero EN profit distribution
160,W21,EN_PTBP_Z,-1316.854682834953,"Pass-through, demand at building peak",Zero EN profit distribution
161,W22,EN_PTBP_Z,306.4284132606796,"Pass-through, demand at building peak",Zero EN profit distribution
162,W23,EN_PTBP_Z,443.00876447500184,"Pass-through, demand at building peak",Zero EN profit distribution
163,W24,EN_PTBP_Z,366.7595448331431,"Pass-through, demand at building peak",Zero EN profit distribution
164,W25,EN_PTBP_Z,131.50804939658258,"Pass-through, demand at building peak",Zero EN profit distribution
165,W27,EN_PTBP_Z,-472.19746786384394,"Pass-through, demand at building peak",Zero EN profit distribution
166,W28,EN_PTBP_Z,-435.3715900709876,"Pass-through, demand at building peak",Zero EN profit distribution
167,W29,EN_PTBP_Z,-68.10905000206503,"Pass-through, demand at building peak",Zero EN profit distribution
